Product_ID,Product_Name,Customer_ID,Customer_Name,Customer_Age,Gender,Country,Quantity,Total_Purchase_Amount,Profit_or_Loss,Date_of_Purchase,Mode_of_Purchase,Ratings,Product_Type,Month_of_Purchase,Year_of_Purchase
VBEB6P5D,Kurti,3150562.0,Liam Anderson,47.0,Female,Switzerland,5.0,448.65,-172.13,2025-11-15,Online,8.1,Dresses,November,2025.0
AE82VIGV,Crop Top,,,21.0,Female,Russia,4.0,2389.77,1342.94,2023-04-08,In-Person,8.2,Tops,April,2023.0
W5CXNJYF,Shirt,2546446.0,Olivia Anderson,21.0,Male,China,4.0,4086.36,18.52,2020-08-13,Online,6.2,Tops,August,2020.0
03MSMP20,Tank Top,1457027.0,Lucas Sharma,63.0,Other,Switzerland,1.0,2039.74,971.88,2020-04-17,In-Person,8.3,Tops,April,2020.0
PY5T938Y,Leggings,5916196.0,Ethan Smith,48.0,Male,UK,4.0,3757.23,779.54,2023-10-24,In-Person,7.7,Tops,October,2023.0
X7L94468,Skirt,4069943.0,Lucas Johnson,63.0,Male,Germany,5.0,1550.45,220.87,2018-03-20,Online,6.8,Bottoms,March,2018.0
RDP52GLF,Tracksuit,4919475.0,Amelia Anderson,55.0,Other,Argentina,2.0,605.98,644.88,2018-10-17,In-Person,8.3,Bottoms,January,2022.0
QDMY8HUL,Sweater,,Emma Patel,16.0,Female,UAE,4.0,1357.75,-402.51,,Online,8.6,Tops,March,2019.0
FWW46JFX,Floral Dress,8452880.0,Liam Sharma,24.0,Female,Denmark,4.0,3433.37,-210.17,2021-06-04,In-Person,5.0,Dresses,June,2021.0
JNNO9921,Crop Top,7566406.0,Liam Kumar,61.0,Other,India,3.0,521.95,-427.32,,In-Person,3.2,Tops,September,2022.0
1SDB45KJ,Jeans,2702234.0,Noah Sharma,34.0,Female,Singapore,3.0,,74.95,2020-12-19,Online,9.2,Bottoms,December,2020.0
ZFY56PKK,Kurti,1844507.0,Amelia Lee,61.0,Other,France,1.0,2518.34,-163.42,2023-12-05,Online,2.7,Dresses,December,2023.0
56WJ2RL6,Kurti,5005064.0,Olivia Kumar,27.0,Female,South Africa,3.0,4491.03,977.77,2024-09-16,In-Person,9.8,Dresses,September,2019.0
BRS8WAO4,Gown,6071723.0,Liam Lee,44.0,Female,Brazil,3.0,1300.01,1457.61,2025-02-09,Online,1.4,Dresses,February,2025.0
N43O1XXG,Leggings,5822024.0,Mia Taylor,56.0,Other,South Africa,5.0,3288.44,1301.31,2024-02-12,Online,9.2,Bottoms,February,2024.0
XUWUFQHV,Shorts,6487612.0,Sophia Sharma,33.0,Female,South Africa,4.0,3448.89,1189.55,2023-08-13,In-Person,4.7,Bottoms,August,2023.0
EQV23E8M,Jeans,5337485.0,Lucas Smith,26.0,Male,Sweden,3.0,4637.13,230.95,2020-11-26,Online,,Bottoms,November,2020.0
2SIPK1IL,Sweater,8737643.0,Ethan Smith,55.0,Female,Argentina,5.0,1007.44,977.63,2023-03-20,Online,5.5,Tops,March,2023.0
DTOB1NTL,Gown,81248.0,Isabella Taylor,58.0,Female,France,2.0,2450.31,1741.84,2019-02-20,In-Person,3.4,Dresses,February,2019.0
NHNCVP2J,Shirt,,Liam Wilson,27.0,Male,South Africa,4.0,4268.97,1811.24,2021-04-18,In-Person,8.3,Tops,October,2021.0
55XC6ARN,Crop Top,2983449.0,Ethan Patel,30.0,Female,Russia,1.0,4599.77,1708.69,2025-05-10,Online,2.3,Tops,May,2025.0
GMQ6ELLK,Jacket,6889391.0,Aarav Kumar,28.0,Other,Brazil,4.0,294.21,639.01,2023-01-21,Online,3.0,Tops,October,2023.0
K12KMQ4J,Chinos,2995583.0,Amelia Kumar,40.0,Male,South Africa,5.0,4813.48,1699.03,2019-04-02,Online,7.1,Bottoms,April,2019.0
FOB3HI71,Kurti,643572.0,Mia Patel,58.0,Other,Netherlands,3.0,2791.83,1608.05,2019-01-11,Online,3.8,Dresses,January,2019.0
MRD563TY,T-shirt,2914239.0,Emma Kumar,15.0,Female,Canada,5.0,1803.25,-386.31,2025-09-12,Online,2.2,Tops,September,2025.0
497TVNTH,Leggings,4806143.0,Lucas Wilson,64.0,Other,Germany,2.0,3844.83,1169.51,2021-06-28,Online,9.3,Bottoms,April,2019.0
Y36Y5JQX,Jacket,5967650.0,Liam Brown,61.0,Female,Norway,1.0,2543.0,487.6,2023-12-03,Online,2.9,Tops,December,2023.0
PVQ2SSGS,Trousers,1503155.0,Mia Johnson,45.0,Male,UK,3.0,1800.48,265.61,2023-12-12,In-Person,2.1,Bottoms,December,2023.0
UT4DDKD7,Tank Top,9267614.0,Amelia Brown,34.0,Other,Denmark,3.0,799.39,-286.87,2022-11-21,,8.2,Tops,November,2022.0
2K5H9SEO,Leggings,9190489.0,Lucas Wilson,50.0,Female,Norway,5.0,4447.35,-420.56,2024-02-16,In-Person,1.5,Bottoms,February,2024.0
8EOK3XQA,Sweater,7359639.0,Liam Taylor,45.0,Male,Argentina,1.0,2397.82,-366.34,2019-05-06,In-Person,5.5,Tops,May,2019.0
P3A0USXZ,Tank Top,5693751.0,Amelia Smith,61.0,Other,Canada,4.0,330.61,270.17,2020-06-01,Online,6.3,Tops,June,2020.0
C276EVUD,Floral Dress,1135320.0,Noah Johnson,48.0,Male,France,3.0,3741.36,155.84,2019-08-14,Online,8.7,Dresses,August,2019.0
G9FN5KTL,Skirt,5042260.0,Amelia Brown,33.0,Female,Mexico,1.0,322.17,1986.34,2025-05-10,In-Person,10.0,Bottoms,May,2025.0
C2L0Q8KE,Leggings,1924726.0,Ethan Wilson,31.0,Male,Australia,3.0,2463.91,241.36,2023-06-23,Online,8.6,Tops,June,2023.0
NN1MTA9V,Overcoat,6785350.0,Noah Johnson,54.0,Other,Brazil,5.0,3543.28,1828.04,2024-06-17,Online,3.8,Tops,June,2024.0
4ALJ7JB5,Saree,5533872.0,Isabella Johnson,51.0,Other,Canada,4.0,2010.38,122.21,2020-11-22,In-Person,7.7,Dresses,November,2020.0
QLQKRWW3,Overcoat,7268965.0,Noah Lee,24.0,Other,Canada,5.0,223.98,-279.97,2024-10-24,Online,7.0,Tops,October,2024.0
EGO6G4RS,Gown,80180.0,Isabella Taylor,37.0,Female,Argentina,4.0,1194.33,61.52,2020-01-16,Online,9.7,Dresses,January,2020.0
MYZZXIS6,Floral Dress,1759934.0,Emma Smith,64.0,Male,Canada,3.0,209.43,169.29,2020-04-27,Online,7.4,Dresses,April,2020.0
4184IYTQ,Blazer,8029974.0,Liam Smith,49.0,Female,Netherlands,2.0,,1469.7,2021-08-25,In-Person,8.1,Tops,August,2021.0
0DVT6IYF,Jacket,1182115.0,Emma Kumar,51.0,Female,Japan,3.0,4811.92,1141.9,,In-Person,5.4,Tops,August,2022.0
OE33PGL4,Blazer,4036263.0,Mia Brown,57.0,Female,UAE,1.0,1527.03,592.5,2022-02-12,Online,4.6,Tops,February,2022.0
AXJLJJ02,Shorts,6492065.0,Emma Kumar,22.0,Female,India,1.0,475.16,961.46,,In-Person,4.6,Bottoms,November,2025.0
0ZLFB34A,Tracksuit,1115394.0,Aarav Taylor,18.0,Female,South Africa,1.0,2933.25,-264.09,2018-02-08,In-Person,4.9,Bottoms,February,2018.0
V7CY3LMS,Shorts,5219486.0,Lucas Wilson,65.0,Other,UK,1.0,652.54,176.36,2020-02-16,In-Person,4.3,Bottoms,February,2020.0
TGAKE6DU,Tracksuit,7110174.0,Liam Johnson,20.0,Other,Argentina,4.0,3056.64,1058.08,2022-06-24,Online,6.5,,June,2022.0
JKJ56E9W,Leggings,9162699.0,Aarav Wilson,63.0,Female,Sweden,3.0,1052.69,591.74,2021-12-16,Online,5.1,Bottoms,December,2021.0
L1KR7TCK,Shorts,4686924.0,Mia Taylor,30.0,Other,South Africa,3.0,1082.89,-221.5,2018-09-05,Online,9.7,Bottoms,September,2018.0
A6MHRO1B,Sweater,2729839.0,Mia Brown,33.0,Other,France,4.0,4228.2,1845.62,2019-07-10,In-Person,8.3,Tops,July,2019.0
IIHA5NCL,Jeans,4642613.0,Liam Wilson,16.0,Female,Brazil,1.0,3578.54,81.76,2021-08-16,Online,1.2,Bottoms,August,2021.0
KQDO7L5H,Overcoat,,Mia Lee,65.0,Male,Italy,5.0,4673.41,467.52,2018-04-06,In-Person,5.0,Tops,March,2022.0
WELA87K7,Shorts,3186283.0,Mia Taylor,58.0,Male,Argentina,3.0,3705.34,1904.16,2024-04-18,In-Person,6.2,Bottoms,April,2024.0
4U7WT9PE,Chinos,8656522.0,Sophia Anderson,26.0,Other,Canada,3.0,3060.9,876.56,2018-06-08,In-Person,6.5,Tops,June,2019.0
MI5E1C9S,Skirt,9427604.0,Lucas Brown,16.0,Female,USA,5.0,719.75,1990.8,2020-08-09,In-Person,7.8,Bottoms,August,2020.0
KOFBMPNB,Overcoat,988433.0,Ethan Sharma,41.0,Female,Switzerland,4.0,389.02,-421.57,2019-04-11,In-Person,2.6,Tops,March,2020.0
WH1S93G1,Sweater,8457327.0,Noah Johnson,41.0,Male,Norway,4.0,3571.71,1402.62,2022-03-06,Online,2.6,Tops,March,2022.0
2LSHOG14,T-shirt,6273355.0,Aarav Smith,42.0,Female,Germany,2.0,4561.26,1822.32,2022-04-10,Online,6.8,Tops,April,2022.0
AO7BYMKE,Jacket,3026499.0,Isabella Wilson,22.0,Other,Japan,2.0,3534.26,-108.91,2021-02-14,Online,9.4,Tops,February,2021.0
60K9CI6N,Kurti,6049446.0,Ethan Wilson,51.0,Other,Russia,4.0,4321.06,-399.64,2021-01-01,In-Person,2.3,Dresses,January,2021.0
F38A9MG5,Hoodie,701124.0,Lucas Johnson,35.0,Female,France,2.0,4651.81,-418.85,2025-09-28,Online,5.5,Tops,September,2025.0
Y8IIOSVY,Trousers,7326553.0,Liam Patel,27.0,Other,UK,1.0,555.13,729.76,2025-06-20,Online,3.9,Bottoms,June,2025.0
CO2PNTFM,Skirt,2992741.0,Aarav Wilson,27.0,Male,Spain,5.0,3378.86,973.38,2024-06-17,Online,3.2,Bottoms,June,2024.0
1ZUVNTA2,Shorts,3215218.0,Amelia Kumar,47.0,Male,USA,3.0,1643.59,-130.01,2025-11-15,In-Person,4.3,Bottoms,November,2025.0
SQ4B0VWY,Leggings,3155334.0,Liam Smith,64.0,Other,Switzerland,1.0,1860.99,284.47,2018-03-10,Online,2.7,Bottoms,March,2018.0
L5GUKR01,Blazer,4709532.0,Mia Lee,16.0,Female,USA,4.0,2402.69,1761.74,2019-01-12,In-Person,2.5,Tops,January,2019.0
ICGBUCLQ,Leggings,8724136.0,Mia Wilson,25.0,Male,UK,3.0,4024.0,1525.41,2021-06-04,In-Person,9.6,Bottoms,June,2021.0
1PZDPOJQ,Hoodie,8259858.0,Emma Patel,18.0,Female,Japan,1.0,3974.78,738.34,2018-01-06,Online,8.8,Tops,January,2022.0
JAM2U4PG,Kurti,1077521.0,Amelia Anderson,65.0,Male,Canada,5.0,1383.15,-435.81,2022-05-10,Online,5.6,Dresses,May,2022.0
DWG3S1DZ,Crop Top,6484916.0,Isabella Taylor,58.0,Other,France,5.0,3451.01,235.61,2025-12-22,Online,5.3,Tops,December,2025.0
QMKWC5JL,Floral Dress,7326279.0,Emma Lee,34.0,Male,China,3.0,3108.38,1983.89,2024-12-26,In-Person,,Dresses,December,2024.0
NEZSJ2C6,Saree,7314684.0,Mia Brown,39.0,Male,France,3.0,4456.82,-473.51,2018-01-21,In-Person,7.4,Dresses,January,2018.0
WE0UUGRN,Hoodie,9354710.0,Aarav Patel,65.0,Male,Russia,2.0,4742.97,337.74,2022-12-22,In-Person,8.8,Tops,April,2019.0
6AUEN9JV,Shorts,8135153.0,Lucas Smith,64.0,Female,Denmark,2.0,3279.45,932.92,2020-06-01,Online,2.1,Bottoms,June,2020.0
1XNTP7D7,Leggings,9907893.0,Mia Kumar,53.0,Other,Spain,5.0,1454.77,950.53,2020-03-03,In-Person,5.7,Bottoms,March,2020.0
SS0TKDVK,Gown,9905155.0,Emma Sharma,51.0,Male,Norway,1.0,1940.92,1048.74,2025-09-03,Online,5.9,Dresses,September,2025.0
1N99L3DQ,Shorts,9774636.0,Noah Smith,48.0,Female,Brazil,3.0,2026.68,1154.81,2019-12-19,In-Person,4.6,,December,2019.0
CZU4MKUK,T-shirt,9999186.0,Aarav Brown,40.0,Female,India,3.0,1809.78,48.92,2018-07-10,In-Person,3.4,Tops,May,2018.0
1BYVVWXT,Sweater,8621774.0,Isabella Patel,44.0,Other,Germany,3.0,3772.51,-31.27,2020-05-18,Online,9.8,Tops,May,2020.0
TPW6PSKX,Overcoat,3320784.0,Mia Kumar,58.0,Female,Japan,2.0,4015.22,1613.89,2020-02-28,In-Person,6.6,Tops,February,2020.0
QZDTVAI0,Chinos,5133852.0,Olivia Anderson,59.0,Male,Canada,5.0,1452.17,636.78,2018-10-18,Online,7.9,Bottoms,October,2018.0
C42DYXOL,Skirt,3174182.0,Mia Patel,37.0,Male,Sweden,2.0,2837.38,301.28,2018-10-11,In-Person,9.5,Bottoms,October,2018.0
B1VH2R7L,T-shirt,7186532.0,Olivia Sharma,39.0,Male,UK,2.0,2852.32,-368.92,2021-11-25,In-Person,6.8,Tops,November,2021.0
KAC4YHWO,Leggings,8781312.0,Aarav Lee,42.0,Other,Netherlands,5.0,3595.25,774.56,2023-02-06,Online,4.6,Bottoms,February,2023.0
K71M0ZKJ,Sweater,5988168.0,Sophia Anderson,16.0,Other,UK,5.0,1310.05,260.16,2020-09-15,Online,8.0,Tops,September,2020.0
GSUOXYAE,Shirt,8834701.0,Liam Kumar,16.0,Female,USA,3.0,4115.85,1970.32,2019-11-14,In-Person,3.6,Tops,November,2019.0
SV0LN4TP,Chinos,1278685.0,Sophia Patel,39.0,Other,South Africa,3.0,2060.5,1080.4,2024-11-28,Online,9.4,Bottoms,November,2024.0
84NV4CER,Kurti,7274376.0,Olivia Smith,39.0,Female,UAE,1.0,4002.76,784.74,2025-06-09,In-Person,9.2,Dresses,June,2025.0
RQRBU6LG,Crop Top,2955659.0,Olivia Kumar,26.0,Other,UAE,1.0,3654.48,450.88,2021-01-11,Online,3.5,Tops,January,2021.0
29P9TH2S,,7903525.0,Amelia Smith,58.0,Female,UAE,2.0,1245.9,-498.77,2024-10-09,In-Person,5.1,Tops,October,2024.0
MX9ZGV5S,Overcoat,2076746.0,Emma Wilson,44.0,Female,UAE,2.0,1501.14,-314.98,2020-08-08,In-Person,5.8,Tops,August,2020.0
1J2FE3W1,Sweater,5422538.0,Mia Smith,35.0,Other,Australia,2.0,432.92,1187.24,2022-06-03,Online,6.5,Tops,June,2022.0
3ZAXPS21,T-shirt,4403444.0,Mia Wilson,40.0,Other,UK,4.0,1153.47,924.07,2022-11-13,In-Person,5.4,Tops,November,2022.0
X8AP749H,Overcoat,2914091.0,Ethan Johnson,48.0,Male,South Africa,2.0,1217.24,861.06,2021-01-07,Online,3.7,Tops,January,2021.0
H76TZRRF,Shirt,704704.0,Isabella Wilson,65.0,Other,Denmark,2.0,2609.14,-292.46,2018-05-15,,8.1,Tops,April,2019.0
9SOQXWOM,Shorts,900831.0,Noah Sharma,33.0,Male,India,1.0,4953.64,24.89,2019-03-08,In-Person,2.1,Bottoms,March,2019.0
WYOXWNON,Chinos,4359322.0,Noah Kumar,25.0,Female,Germany,1.0,4741.23,1626.84,2019-01-18,Online,1.0,Bottoms,November,2019.0
9UNFCX0G,Sweater,8435388.0,Ethan Anderson,20.0,Male,Russia,5.0,2801.5,1384.93,2021-11-12,In-Person,1.1,Bottoms,November,2021.0
IR0V050G,Tracksuit,4133731.0,Aarav Smith,27.0,Male,Italy,3.0,1212.69,-443.58,2023-12-17,In-Person,7.0,Bottoms,December,2023.0
JMXT4RXV,Shirt,1406810.0,Noah Brown,43.0,Other,Australia,3.0,3119.28,-410.45,2018-10-02,In-Person,7.7,Tops,October,2018.0
PI3O4KUU,Crop Top,3104592.0,Mia Kumar,30.0,Other,India,1.0,2787.85,189.15,2023-10-16,In-Person,3.0,Tops,October,2023.0
ZAKBLB0A,Gown,7067661.0,Aarav Wilson,64.0,Other,Spain,2.0,937.66,1563.9,2021-07-08,In-Person,8.9,Dresses,July,2021.0
PUHUI6G7,Jeans,4536663.0,Mia Lee,32.0,Female,Switzerland,4.0,2220.32,458.77,2021-12-14,In-Person,9.8,Bottoms,December,2021.0
HQBSX89N,Gown,5712349.0,Isabella Wilson,25.0,Female,Russia,5.0,409.27,1763.96,2023-05-08,In-Person,7.2,Dresses,May,2023.0
8T5ABA6X,Saree,4572893.0,Isabella Brown,43.0,Female,Singapore,3.0,1271.82,1612.62,2025-01-12,In-Person,7.3,Dresses,January,2025.0
EH3F53A3,Shirt,7465257.0,Ethan Lee,30.0,Male,UK,5.0,715.12,1358.63,2021-11-18,In-Person,4.9,Tops,,2021.0
DDVP2WN6,Saree,9246543.0,Liam Patel,24.0,Female,India,2.0,1048.97,1212.62,2025-01-07,Online,3.9,,January,2025.0
GHXLAM1A,Blazer,3545621.0,Liam Patel,15.0,Female,Mexico,5.0,4244.02,54.85,2024-05-24,Online,1.7,Tops,May,2024.0
SMPEFOH3,Saree,1229187.0,Ethan Lee,18.0,Female,Brazil,1.0,1453.27,1189.74,,In-Person,8.2,Dresses,April,2021.0
AQZQSZ1C,Jeans,9091791.0,Olivia Brown,40.0,Male,Germany,1.0,2063.0,1120.74,2020-06-10,In-Person,3.3,Tops,June,2020.0
RFNN5262,Trousers,2753675.0,Ethan Anderson,27.0,Other,UAE,4.0,4503.87,1201.56,2025-10-05,Online,8.1,Bottoms,October,2025.0
DWTHEM0V,Hoodie,9490258.0,Liam Kumar,42.0,Female,Mexico,4.0,3429.01,503.01,2020-03-07,In-Person,,Tops,March,2020.0
PTVM4WKF,Gown,6286850.0,Isabella Brown,48.0,Female,UAE,5.0,2283.58,1118.2,2020-06-25,Online,3.6,Dresses,May,2020.0
JFGRGJKR,Sweater,3441748.0,Olivia Brown,41.0,Male,China,3.0,4572.52,1121.2,2019-02-26,In-Person,8.9,Tops,February,2019.0
8FOQNVYZ,Floral Dress,9132463.0,Ethan Johnson,29.0,Female,Sweden,2.0,1215.58,-471.49,2020-07-22,Online,3.4,Dresses,July,2020.0
XUU39OGI,Jeans,2494180.0,Sophia Sharma,17.0,Male,China,1.0,2904.14,1834.47,2019-05-23,In-Person,5.3,Tops,May,2019.0
ZDKK4YDS,Shorts,1195553.0,Noah Johnson,23.0,Male,Sweden,1.0,2500.77,580.97,2024-08-08,Online,2.6,Bottoms,August,2024.0
ZW5OHCYL,Jacket,1467891.0,Sophia Taylor,57.0,Other,France,4.0,1469.74,847.86,2020-12-13,Online,1.9,Tops,December,2020.0
DUI2E8B7,Blazer,3341761.0,Sophia Kumar,54.0,Other,Denmark,1.0,4888.92,714.8,2020-12-12,Online,7.5,Tops,December,2020.0
05Q9V590,Shorts,9337737.0,Mia Johnson,37.0,Other,Argentina,2.0,3724.77,1706.67,2021-10-22,Online,2.5,Bottoms,October,2021.0
BNAXW3IP,Tracksuit,2469094.0,Isabella Patel,24.0,Female,Germany,1.0,4755.95,-192.32,2019-09-03,Online,5.8,Bottoms,September,2019.0
EZMXMVS9,Overcoat,7425513.0,Amelia Wilson,26.0,Female,,4.0,3482.75,1177.85,2024-04-21,In-Person,7.5,Tops,April,2024.0
S1BVVI6Y,Jacket,7755079.0,Lucas Brown,27.0,Other,Brazil,3.0,999.05,489.69,2024-04-09,Online,5.1,Tops,April,2024.0
W3CC2PCX,Chinos,5766944.0,Liam Taylor,18.0,Other,Switzerland,2.0,2875.53,555.87,2025-06-02,In-Person,6.7,Bottoms,June,2025.0
FROE59XI,Trousers,3176826.0,Liam Kumar,16.0,Other,India,4.0,3075.2,1358.91,2024-10-06,In-Person,3.4,Bottoms,October,2024.0
E8P5V498,Sweater,7979299.0,,19.0,Other,Mexico,1.0,985.19,1792.86,2025-07-18,Online,7.0,Tops,July,2025.0
KDM8RHHJ,Crop Top,728964.0,Isabella Patel,59.0,Female,Switzerland,5.0,2282.41,907.17,2024-01-28,Online,1.8,Tops,January,2024.0
TOX2PE64,Chinos,6793432.0,Noah Brown,42.0,Other,Denmark,1.0,1740.68,940.25,2019-12-07,In-Person,2.3,Bottoms,December,2020.0
DYPBYL1I,Gown,8631475.0,Noah Taylor,48.0,Other,,3.0,4282.43,1994.59,2023-06-24,In-Person,5.2,,June,2023.0
M9OTW43W,Saree,5855686.0,Emma Patel,34.0,Female,Australia,2.0,4913.28,679.37,2024-04-03,In-Person,6.0,Dresses,July,2020.0
OD4WMGHG,Skirt,4458502.0,Noah Wilson,53.0,Male,USA,5.0,4499.26,325.91,2022-10-09,Online,3.0,Bottoms,October,2022.0
27U1F4BZ,Hoodie,9695441.0,Sophia Johnson,20.0,Male,South Africa,3.0,4616.94,-12.09,2025-04-24,Online,4.3,,April,
0POKVYYQ,Skirt,3624892.0,Emma Sharma,65.0,Male,Germany,3.0,2054.98,-478.56,2025-11-25,In-Person,5.8,Bottoms,November,2025.0
6B0Z2MYQ,Blazer,6468516.0,Isabella Wilson,55.0,Other,Denmark,3.0,3059.19,1857.15,2021-06-23,In-Person,1.4,Tops,June,2021.0
076SKV6G,Gown,2001409.0,Ethan Johnson,53.0,Male,Spain,3.0,2794.13,1741.55,2018-05-25,In-Person,6.0,Dresses,May,2018.0
33HV5BNW,Sweater,3245905.0,Ethan Patel,52.0,Female,Singapore,1.0,1599.87,-240.13,2021-08-07,Online,2.9,Tops,August,2021.0
0HDQZW5V,Overcoat,9097926.0,Emma Taylor,59.0,Female,USA,4.0,1963.33,1358.21,2020-03-07,Online,7.9,Tops,March,2020.0
NCTAA3MJ,Tank Top,5069791.0,Lucas Patel,22.0,Female,Argentina,4.0,759.4,549.1,2022-08-20,In-Person,9.2,Tops,August,2022.0
68PNLJ7J,Overcoat,6250289.0,Amelia Smith,40.0,Female,Germany,,1975.87,1446.04,2018-10-23,In-Person,4.2,Tops,October,2018.0
RPZE9EFP,Skirt,6967834.0,Amelia Sharma,59.0,Male,,3.0,2916.07,1305.25,2025-11-08,Online,9.6,Bottoms,November,2025.0
C1GO1Q4J,Skirt,6819219.0,Lucas Wilson,46.0,Female,India,2.0,3825.17,419.03,2022-10-14,In-Person,9.7,Bottoms,August,2020.0
P7HYF1BD,Leggings,7574970.0,Ethan Patel,59.0,Female,Brazil,1.0,4240.28,1449.92,2024-03-08,In-Person,1.1,Bottoms,March,2024.0
76NULMS1,Crop Top,2649126.0,Olivia Johnson,61.0,Other,South Africa,5.0,2892.13,1852.34,2018-01-18,In-Person,6.3,Tops,January,2018.0
LAM3SWIS,Crop Top,7100343.0,Mia Patel,59.0,Female,Spain,2.0,2796.0,-496.79,2024-07-19,Online,6.4,Tops,July,2024.0
MP9BF6Z3,Blazer,7148948.0,Isabella Kumar,40.0,Female,China,3.0,3971.35,1385.47,2021-03-11,Online,3.2,Tops,,2021.0
RWQNDCXB,Overcoat,9856055.0,Aarav Patel,36.0,Male,Argentina,2.0,646.18,1.14,2023-11-05,Online,6.8,Tops,November,2023.0
9RE2MUO9,Leggings,8406293.0,Lucas Patel,20.0,Other,Canada,3.0,1118.89,,2020-07-07,Online,6.4,Bottoms,July,2021.0
180ZICM3,Gown,7681606.0,Emma Anderson,57.0,Female,France,4.0,2374.88,980.69,2023-12-15,Online,8.7,Dresses,December,2023.0
VK220PNN,Hoodie,523810.0,Isabella Wilson,59.0,Male,France,4.0,1203.98,-95.32,2022-08-16,In-Person,4.2,Tops,August,2022.0
VOQGN185,Tank Top,5573076.0,Mia Patel,15.0,Male,Japan,2.0,3907.05,1333.24,2020-05-13,Online,6.9,Tops,May,2020.0
PL53K1S3,Hoodie,2751291.0,Olivia Patel,22.0,Male,UK,1.0,3237.96,531.46,2025-12-10,Online,5.0,Tops,December,2025.0
PO42HG3N,Leggings,3680895.0,Amelia Wilson,35.0,Female,Switzerland,3.0,4734.04,1987.51,2023-02-03,Online,3.2,Bottoms,February,2023.0
KGZ3VJEP,Saree,1890963.0,Isabella Sharma,27.0,Other,Russia,4.0,545.45,-277.97,2024-03-16,Online,9.9,Dresses,March,2024.0
O8P5BJG0,Saree,8345785.0,Aarav Johnson,49.0,Male,Singapore,2.0,377.1,353.34,2023-10-12,Online,9.3,Dresses,January,2018.0
416COO2B,Saree,6185489.0,Sophia Smith,33.0,Other,Australia,4.0,4243.64,794.47,2023-05-04,In-Person,2.2,Dresses,May,2023.0
M4FND5CW,Tank Top,6104159.0,Ethan Wilson,27.0,Other,Germany,5.0,737.29,-72.95,2024-12-26,In-Person,9.1,Tops,December,2024.0
C4PGVH9K,Blazer,5603429.0,Isabella Kumar,30.0,Other,Russia,2.0,4238.03,827.82,2020-06-17,In-Person,9.8,Tops,June,2020.0
SFJWFYF3,Leggings,635935.0,Sophia Taylor,19.0,Female,Japan,3.0,4074.82,1142.74,2020-12-02,Online,8.4,Bottoms,December,2020.0
